rewire_id,text,label
sexism2022_english-4738,It's a 4chan post it probably 404'd,0
sexism2022_english-4064,Unattractive women don't get bred out and pass on their defects to their offspring.,1
sexism2022_english-12845,"If women can think the air conditioning can oppress them, there is no limit to the shit they will make up.",1
sexism2022_english-2457,YouTube removes videos from conspiracy theorist Alex Jones: Infowars website! #CNN is behind this attack! [URL],0
sexism2022_english-10775,"If you read the newspaper one day that some crazy bitch murdered her husband, and you recognize a dumped first date in the mugshot, you will thank me.",1
sexism2022_english-14693,"Not true. TRP is 100% beneficial to her, provided she is the least bit fuckable. um...no, no it's not.",1
sexism2022_english-13192,"""And access to a single market with lucrative free trade arrangements"", the nine-year-old cooed as she sold her kittens to the friendly Tom Ka Gai pushcart vendor on the corner.",0
sexism2022_english-6145,Ok 5’8 very attractive guy vs 6’5 ugly guy the 5’8 guy would get the girls.,0
sexism2022_english-10407,"And, her daddy was Chief Spreading Bull",0
sexism2022_english-5605,we don't know if that is ZUMA. we are not sure about that yet.,0
sexism2022_english-8861,Not in the case of Muslim woman,0
sexism2022_english-9210,Here she is the breeding machine No thoughts for how her kids will work rest play eh Africa the same Muslims the same They All sicken me,1
sexism2022_english-2375,Shouldn’t he be preparing his last will & testament instead of tweeting stupid shit and further embarrassing himself and eroding his reputation and legacy?,0
sexism2022_english-18844,"They see but theyll say some bs like"" i know my worth"". Fds women are so sub par that even tbe 6/10 white women on my tinder mog the entre sub forum to oblivion.",1
sexism2022_english-18469,Sub-Saharan Africans (even half-breeds) don't exactly bring up images of high quality manufacturing in my mind. What about the rest of you.,0
sexism2022_english-3886,Fucking disgusting you can see the kid trying to hold on single motherhood is a plague avoid that shit AT ALL COST,1
sexism2022_english-13766,Chads prom night ended as a foursome surrounded by dozens of Stacie’s while incels prom night ends in their jaw slipping through the noose,0
sexism2022_english-3942,gym thots are fishing with really wide nets-- tread carefully.,1
sexism2022_english-12087,"Seriously. All women think about is status and sex, and then crotch spawns after they shit their first one out.",1
sexism2022_english-9950,"1&7. Feminists are the worst. For example, that nasty bitch that made bread with her yeast infection riddled coochie goo and threatened to give to her family that she didnt like at Thanksgiving dinner. Sick demented shit!",1
