text,hd,cv
No! He got back to DC in the afternoon of the 4th!,0,0
"Watch 'Eagle Forum Speaks Out on Con-Con Con, 2353' on YouTube  https://youtu.be/iEWexTMIwU8",0,0
nobody expects shit from women in this rotten society.,1,0
"Angela #Merkel admits there ARE ""no-go"" areas in #Germany that ""nobody dares"" to enter:  http://www.dailymail.co.uk/news/article-5446435/Angela-Merkel-admits-no-areas-Germany.html",0,0
Child abuse. ,1,0
https://pjmedia.com/trending/massive-cloud-of-midges-descends-on-cleveland-registering-on-weather-radars/  Sounds like Africa. We don't have many bugs in California. It is one of the perks of living here. Almost no mosquitoes. No gnats or midges. You can take a walk without a bug bite.,0,0
The Louisiana Purchase and the Civil War were loaded with slaves and Jewish Mayors and Generals on each side.  Grant expelled them all in 1862 for war profiteering.  4 generations later we will get this done and expel all the Jews.  World War Jew and the 80 year aftermath is not going to fly. ,1,0
Let her testify and move on. ,1,0
Proud of #MikePence for telling the kneelers where to stuff it.    We are so DONE with the #NFL at our house. Beyond done.   #USA  #MAGA  #Pence  #Trump,0,0
The destiny of our republic and our freedoms depend on how resolutely WE THE PEOPLE dedicate ourselves to our country's most hallowed principles.,0,0
they arent migrants. they are invading and stealing  ,1,0
Veritas needs to get in touch with @pnehlen for an open world of communication. #ShallNotCensor,0,0
"You have 111 posts - granted I scrolled through them quickly, but which exactly had nice things to about me or about what I had to say, dear?",0,0
"Jealous, bigotry and stupidity is their state of mind. Leave them alone, they be lost. ",0,0
This old Jew Witch will die lonely.,1,0
"When half of California's population is foreign criminals, we should be removing at least one of those Senators..",1,0
"If you need a nonsensical bullshit snowflake pronoun, you can be absolutely certain that I will have no reason to talk to you or about you. In my world, you don't exist. https://www.campusreform.org/?ID=10583",1,0
"You wanna bet Hillary will be hanged by 2020? I’ll even give you until January 1, 2021.   I say she won’t be. You say she will be. Whoever is wrong deletes their account? Deal?",0,1
You can feel it.  Oddly saw it in Alex Jones the other day too... ,0,0
When I responded with the same but female instead to show them how wrong it is they called me a whore and that I oppressed and raped them I as a girl and a lgbtq+ supporter apologize to y'all for these shits ,1,0
