text,hard_label
".<user> 

We'll get exactly the same immigration system. 

#Brexit told a lie. Gullible fell for it. 

<user> <user>",0
"Retweeted MUSLIM PATROL (<user>:

#Brexit was not about racism 
Yeh
Right <url> <url>",0
"RT <user>: Calais Muslim Migrants Block Roads, Destroy Cars, Shout 'Fuck UK' #BanIslam #StopIslam #Brexit #VoteLeave 

<url>",1
Y is everyone affraid to send this scum of Islam packing <url>,1
RT <user>: amanpour's a pro- refujihadi rapefugee dhimmi. See how that works? #MakeBritainGreatAgain <url>,1
misogynistic xenophobic white supremacist terrorist encouraging cowards don't want what is right they just want their way. #Brexit,0
Michael Gove sets up new law to thwart ‘rogue’ EU courts &amp; deport foreign criminals <url> #Brexit <url>,1
Mother F*CK the Council on Foreign Relations and anything they may have to say. 💩😬💩😬💩 #EUref #Brexit,0
Because immigration is mainly a business matter... <user> in <user> #brexit #immigration #BorisJohnson <url>,0
so equal pay for women would have stopped fears of immigration #brexit #zimmer conflation,0
A significant day to be discussing foreign policy and #Brexit with former Secretary of State Henry Kissinger. <url>,0
"Oh great, that should make Europe's slide into Islam just that much easier. why don't you just shoot yourselves now. <url>",1
Welcome British Refugees #brexit #EUref <url>,0
Educate yourself. IS hate anyone who doesn't share their beliefs. Leaving the EU won't stop terrorist attacks <url>,0
RT <user>: #IslamIsTheProblem. Islam is a disgrace! This is not a religion it's a cult! #banMuslims  <url>,1
"After #Brexit #UK can deport #radical #Islam #muslim ""#clerics"" (AKA #isis recruiters #terrorists) #EU ""#humanright "" except for natives",1
F*** Obama and nobody listen to anymore f*** that Muslim <url>,1
"#Brexit
Facts about Pakistanis
1) Everyone hates them
2) Pakis only hate Hindus
3) Pakis dogs of Arabians",1
"#Brexit will impact so many different things stock market, trade, employment, immigration etc
Thursday is a big day <url>",0
No more Islam #HENK <url>,1
