text,hd,cv
"A beard was the sign of a soldier in the Roman Republic and Principate. One was expected to be clean shaven as a civilian, but soldiers on campaign were allowed to grow beards as long as it was kept close-cut, not long like some decadent Greek.",0,0
"I’ve often wondered what it would be like for Globalist groupies once they realized they’re living a lie, but now, I’m seeing that it is we patriotic Americans who have been living in a lie for decades... Our country, branches of gov, our MSM and our schools.. ALL are hijacked.",0,0
"Virtue Signaling isn't a metaphor, it is an adjective- that in this case modifies the noun ""crap"". Stupid fucking boomer.",0,0
"Sometimes businesses get their customers, or maybe customers just get them. Here are 25 times when businesses got it just right! #funnypics #coolstrange #funnysigns #funnybusinesses #lolsigns  25 Times When Businesses Got It ⋆ Cool Strange http://crwd.fr/2rq8W8S",0,0
I'm confused about all the doxing. Why?,0,0
guys...GUYS!!!! Allen Weiesselberg was GRANTED IMMUNITY in the Michael Cohen case! THE SHIT IS GOING TO HIT THE FAN NOW!!! DRUMPF will finally be impeached!!!  These losers actually believe this shit. They haven't found SHIT in TWO YEARS...but *NOW* they're finally going to bring Trump down!!! /wank,0,0
‘Foreign specialists’ may stage chemical attack in Syria in 2 days to frame Assad – Russian MoD https://www.rt.com/news/436876-idlib-fake-chemical-attack/,0,0
This is helpful. Thanks brother. ,0,0
If it encourages them to clean their toilets I'm all for it.,0,0
"It seems to me that there is a fundamental difference in choosing the locus of control.  Is it imposed externally by others or is it internally by each individual?  And an associated thought is that those who aren't willing to take responsibility, give it away to others. It's easier for them.",0,0
The UK: ,1,0
Throw their asses off a five story building alive like the Muslim’s do to Queers!,0,1
"What fucking drama queens, letting women vote was a bad idea",1,0
"Daily reminder that I hate niggers, jews & moslems but what I hate more than anything else are anti-White, White People.",1,0
"“I’m mentally ill, having mutilated my own genitals because I cannot accept how God made me. You should absolutely take my opinions on politics seriously.” ",1,0
"So hating Islam is okay. Hating socialism is okay. Hating communism is okay. But hating Jews is low-IQ knuckle dragging. Then, you go on to strawman the massive over-representation of Jews as a ""few jewish names"" and simply refuse to address the JQ, altogether. You try to tie Jews to ""OT ideology"" and say it isn't dangerous, while ignoring the Talmud and Quabbalhism, which are deadly. As is Sabateean Frankism. The Bible refers to jew sects as the Synagogue of Satan, and your average Jew hates white people and Christianity, as they help flood white nations with those Muzzies you hate so much, as the shooter highlighted in his posts and commonly found on other's gab posts, which you called Islamic propaganda. You jew, bro?",1,0
"Is there anything that doesn't offend Muslims? Well, except for mass killings committed in the name of Allah, rape and abuse of women and children, and all the evil deeds perpetrated by Islamic adherents... ",1,0
Faggot. https://archive.fo/Kb0YP#selection-457.0-1061.1,1,0
"LOVE! Love for America Love for Americans. It is love Obama, you Muslim dung pile a homosexual such as yourself would not know it could not understand it.",1,0
"They weren't innocents, they weren't protestors, they were Hamas scum who want to obliterate Jews and Israel. Leftwing MSM needs to realise Hamas would indoctrinate all of them if they lived under its governance. http://blogs.timesofisrael.com/defending-its-very-...",1,0
