text,hard_label
"100's terror plots stopped in U.S. – mostly #Moslem refugees

<url>
★#MyJihad Islam #Brexit Handwara Uma Bharti #tcot BJP",0
Of course Dems have. Why you think they like illegals so much? <url>,0
"So my mum voted #brexit to deter the ""hoards of Muslim immigrants"". Don't think she gets that Middle Eastern countries aren't in the EU 😪",0
"Ironically, if this Brit is forced to return, it'll mean #Brexit is directly responsible for a Muslim entering the country.",0
"If you voted to #Remain, by definition you are a terrorist and ally of ISIS.

#LeaveWins #Brexit 🇬🇧🇬🇧🇬🇧",0
Merkel needs another 70M person nation to cover ~$12B shortfall from #Brexit. She will fully sell EU to Islam and admit Turkey. 70M Muslims.,0
"Who says the EU cannot be decisive when it comes to kicking foreigners out? #Brexit

<url>",0
"<url> 4,500 Muslim invaders that YOU pay for, why not leave the EU with the bill? #Brexit",0
"If calling Radical Islam evil causes MORE Muslims 2 become radicalized, Why has the OPPOSITE been true 4 Christians? <url>",0
London Muslim Mayor Khan announces name of the new Caliphate 'ScotLondStan' also considering switching to Arabic 4 offl lang #Brexit,0
RT <user>: Islam has no place in Europe #Brexit <url>,1
"Don't wanna b tricked into white genocide and live like commies 2serve so called Jewish evil master race, thank you😊 <url>",1
"RT <user>: Deport with extreme prejudice. 

Go live in swedistan, Britain doesn't want you

#Brexit <url>",1
the scotts have a lot of cucks who exist only to suck pakis off; we need to fix this <url>,1
DavidJo52951945: ScottAJBlake4 or use some of the EU fees for a proper border force &amp; deport every illegal straight back to France #brexit,1
"THE MAJORITY WILL NEVER allow the Mentally Ill Globalists to turn the world into a SJW and Radical Islam ""SAFE SPACE"" #brexit #Trump2016",1
"I knew all along that the leavers succeed for #Brexit was all about immigration! Hey u, foreigners get out! <url>",1
"U R rite Rooster!Let's put USA's citizens&amp;interests ahead of all others,stop migrant invasion&amp;create prosperityAgain <url>",1
.<user> London is the Muslim Brotherhood's Head Office..I wonder when they'll be given their walking papers. #Brexit <user>,1
"RT <user>: Congrats Britain! Now take control of ur muslim problem! Roll on Trump Train! 
 #Brexit #TrumpTrain #Trump2016 #MAGA <url>",1
