label,text,predictions
0,<user> <user> NUMBER million unemployed  fool,0
0, <user> <user> <user> <user> <user> <user> WeDontBuyHate this is powerful Watch,0
1,If you watched the entire GeorgeFloyd porno you’ve unlocked your inner level NUMBER freak amp; there’s no turning back for uyouknowwhoyouare dannysdailydose,0
0,<user> Stay away from children,0
1,<user> <user> No super-spreader accusations as people party in the streets from the MSM   And just like that COVID ends  The left is a party of liers racists cheaters looters arsonist rioters and hypocrites,0
0,Trayvon Martin georgezimmerman deserved the death penalty,0
1,<user> <user> <user> <user> <user> <user> <user> <user> Trump is in favor of what happened in Texas against Biden The Republican Party as you knew it is gone ANYONE WHO VOTED FOR TRUMP CAN NOW BE CONSIDERED A DOMESTIC TERRORIST,0
1,<user> <user> That’s because he is not and ur the most corrupt and dumbest ever:face_with_tears_of_joy::face_with_tears_of_joy:U loser TrumpIsACoward TrumpIsCompromised TrumpIsBroke TrumpIsPathetic TrumpIsCorrupt <user> <user> <user> <user> TrumpIsNotAmerica TrumpIsNotWell <user> TrumpIsARacist TrumpLovesPutin,0
0,<user> <user> <user> Well kinda all over the news  And idk how many felons that rob pregnant ladies at gun point get NUMBER funeralsNot really surestill not getting how they can talk about how what happened to him was absolutely unacceptable wo misleading ppl on who he was  <url>,0
0,"""You don’t want a family Christmas if it means people die do you DO YOU You don’t want to kill Granny You’re not that selfish are you No Good Thank you for answering our totally objective poll""",0
1,"BlackLivesMatter BLM BlackLivesMatterDC NoKneeling so an employee at  <user>  just hung up on me for calling abt a forgotten drinka team lead called me ignorant while crying about the NUMBERst employeeand i was given a half ass apology from a mngr ""we'll talk to him"" BLM",0
0,"Watch for free ""America Street"" on racism and murderous violence against Black Americans by béninois filmmaker Indrissou Mora Kpai shot in the wake of the Walter Scott murder and the Mother Emanuel AME Church massacre GeorgeFloyd BlackLivesMatter  <url>",0
0,<user> It’s forced socialism so no,0
1,Gee Thanks Dick <url>,0
1,<user> Come on man Listen Jack  okay here’s the deal you have a hard enough time with the alphabet let alone run a country:face_blowing_a_kiss::victory_hand:,0
1,Who TF is asking these motherfuckers to dance in honor of George Floyd Like please,0
0,We are happy to announce that WE ARE NOW REOPEN FOR TESTING Due to COVID-NUMBER concerns we are limiting testing to APPOINTMENT ONLY and we have added many new procedures to keep you and our clients safe Please call to inquire today <url>,0
0,<user> <user> and their contributors are a cancer on our society They purposely feed disinformation to their viewers Morally bankrupt and dangerous,0
0,<user> BAN ANONYMOUS ACCOUNTS,0
0,<user> COVID COVID COVID COVID COVID COVID COVID COVID COVID COVID COVID COVID  You’ve failed Just stop the BS,0
0,Total Confirmed Covid Cases by County For UT   NUMBER-NUMBER-NUMBER:  This and our Covid series of visualizations cuts through the noise thanks to USAFacts and a top team of data scientists covidvislualizations coviddata smcanalytics <url>,0
0,<user> <user> <user> Not buying what your selling-Socialismneverworks,0
1,Fuck you covid NUMBER <url>,0
0,<user> <user> Where do people get these ridiculous takes George Floyd was a NUMBER foot NUMBER grown man and she is a NUMBER year old woman If they are willing to let a man crying for his mother to die they problem would be fine taking out one more person It's the officers who killed Floyd not her,0
