post,offensiveYN
"Fact: believe it or not most of you will not be incel for long Most of you will soon get laid, not necessarily become normie or chad but at least escape being incel",1.0
"If Putin picked out a reality TV star and colluded with him to take the American presidency with the entire federal spy apparatus watching the whole time and yet left no evidence whatsoever,  maybe we should just congratulate him and let him build that wall along the Mexican border he wanted so much",0.0
Can't wait for certain people to get the reality check they deserve when they leave Newport and they aren't the hot shit they think they are,0.0
"If it didn't work out, then it didn't work out, stop bein a mad hoe and move on",1.0
Some of you girls think being a bad bitch is all there is in life,0.0
"Who gives a flying fuck? @Rhace138 Again, call me sexist but men shouldn't get lower back tattoos",1.0
i 've been trying to . <repeat> get my daughter to call me daddy . <repeat> appearrantly getting * * our * * mom pregnant does n't make her * * my * * daughter as well . <repeat> ~*boos*~,1.0
The gym has my elbow FUCKED up. #andhaileysabitch #goodbye,1.0
when harmos talk about feminism no doubt that it makes me fucking cringe,0.0
Geeze I am watching judge Judy and she's very racist LOL she's getting more cranky every day,1.0
If we aren't going to add new mods we need to go private The brigading is out of fucking control  Sick of seeing anti incel comments with 20+ upvotes.,1.0
would do a snake if someone﻿ held the fangs back ,0.0
"Starbucks employee (male):: What can I get you Sir? Me (transitioning female to male):: [order] SE:: Oh I'm sorry Miss. Me:: Uh...it's sir. SE:: Here's your coffee MISS sorry again MISS. My friend thinks I confused him. I'm also a college student so if I wasn't sir, I should have at least have been ma'am.",0.0
"How would you call a dog if it has long neck , can break all things and can dive into water ?",0.0
Friends....if you get a chance please follow @whitezombie a friend who just deleted his FB account...after having Zuckerburger try to me his momma one too many times THANKS,0.0
Do girls just have this part of their brain that makes them think about thinks to annoy them... coz I certainly fucking do&#129300;&#128173;&#128580;,1.0
"Oh, darling MRAs. You making jabs at my appearance won't keep me from working to provide tools so others can shut you down. &lt;3",1.0
"yahoo.com/news/m/d03f5ed5-08fb-3a72-a24e-b7a9951cf8f8/ss_artillery-strikes-against.html … Coalition left not a stone in Raqqa bombing them to the ground, like they bombed Dresden in 1945, already defeated.#Brutality #Civilians",1.0
why did hitler hate oranges ? because it had juice(jews ) in it .,0.0
Spanish time?,0.0
