text,hard_label
"<user> <user> I'm so glad about #Brexit.. My ancestors are from England, UK.. it breaks my heart to see Islam ungrateful ppl",0
RT <user>: There was more to #Brexit than immigration ugghhh,0
"At the end of the day, the leave campaign won #Brexit due to anti immigration sentiment. Take note America. This is Trump's message too.",0
So the reducing migration thing wasn't quite what it seemed either? <url>,0
A Brit Immigrant Asks Britain to Become India’s Union Territory #Brexit <url> <user> <user> <user>,0
RT <user>: Islam has no place in Europe #Brexit <url>,1
"OH this AM: ""I immediately called my sister in London to find out if she was affected."" As if #Brexit was a terrorist attack.",0
I keep thinking about voter mobilization of the muslim brotherhood in Egypt 2010 in regards to #Brexit,0
#brexiteers duped... immigration won't end... they say now... <url>,0
England need Foreign players looool #Brexit,0
"I can tell you this, I'm a lot more scared about the future of this country now than I was after the terrorist attacks on 7/7. #Brexit",0
#brexit is going to effect other countries economically and they are most likely going to pass laws against the refugees that come in from,0
"#Brexit, followed by economic crisis &amp; PM Cameron's resignation, UK decides to deport Nawaz Sharif.
UK can't afford Martial Law. #UKDecides",0
".<user> criticising Farage's poster ""showing refugees like Nazi propaganda"" and the negative overall tone of the #Brexit campaign.",0
"Oh, immigration as a concern. 👌 <url>",0
"LATEST: #Brexit may prove even greater ""calamity"" than refugee crisis, George Soros says <url> <url>",0
Who let this clown into the US? Deport now.  <url>,1
I wonder what would the post-#Brexit <user> be. Will there be immigration booths in the middle of the Channel Tunnel?,0
Let Canada be the world let the world be Canada 4th khalifa of Islam Ahmadiyya  <url>,0
Just a reminder- Mariam moved as a refugee to a British colony- because it's great here.  <url>,0
"UK opted for #BREXIT + a Muslim London Mayor, while #Trump might be nxt US President=isolationsts Where does this leave the rest of us?Scary",0
"<user> <user> Muslim child grooming rapists Tim? Hundreds of crimes against white girls in Britain, police not interested. #Brexit",0
Germany's ageing population problem is about to be fixed with a young mass migration from Britain #Brexit,0
#Brexit fallout terrible for Shorten/ALP - shifts debate back to their weaknesses: foreign policy and economics. #auspol #ausvotes,0
"UK is divided, its economy is clearly going to go downhill, and its foreign relations with Europe are in shambles. Well done #Brexit!!!!",0
"Read many voted #Brexit bc of the refugee thing,wish u/ur loved ones will never find urselves in the same situation <url>",0
"""That is what it means to be an immigrant in Britain now. It means total uncertainty."" <url> #Brexit #EURefResults",0
"RT <user>: I have lived to see so many things- innovations, wars, refugee crisis etc. Now #Brexit. History changed yet again <url>",0
#EUref The pound will soon be toilet roll.Forget your foreign holidays #Brexit mugs,0
RT <user>: 16/ Issuance of visas to Nigerians may take a hit as immigration was one of the key issues in the #Brexit vote.,0
"MEPs claim Brexit won because of Nigel Farage's 'Nazi propaganda'
He might be a foreigner but he's spot on #Brexit  <url>",0
Wonder how many Brits would happily give up their sh*t jobs to an immigrant #Brexit,0
<user> I understand controlled vs uncontrolled immigration but #Brexit won't change that. We'll still have to adhere to free movement.,0
"If you voted to #Remain, by definition you are a terrorist and ally of ISIS.

#LeaveWins #Brexit 🇬🇧🇬🇧🇬🇧",0
"They have a fucking Muslim mayor.
Thankfully the sane #Brits elsewhere voted #Brexit! Yay 🇬🇧
#MakeAmericaGreatAgain <url>",1
Pakistan will make it into another Jihadi cesspool like Afghanistan. No more land to Islamic states <url>,0
"<user> 
#Brexit wants to deport Brits?
#EURefResults",0
"<user>  C'mon   Work week in the world winners were Hillary, O, and Kerry #brexit Consequence of terrible foreign policy #isis #syria",0
The British and coming! The British are coming...to wreck the global economy and spread xenophobic anti-immigrant propaganda! #Brexit,0
Another #brexit debate on <user> another drinking game! Drink everytime they mention immigration or <user> tells someone off,0
"#Trump has absolutely no clue about foreign affairs, world issues or anything beyond his (often failed) businesses <url>",0
Breaking: #Merkel has to cancel reservations for her Muslim refugees bc of the pending #Brexit Vote.EU members step up &amp;roll the red carpet,0
Experts should question UN and BBC: CONSTANTLY pushed Brits/Europe to take MORE migrants... ignoring rich Muslim Nations take none. #Brexit,0
All this focus on immigration watch how they distract us with It and quietly privatise the NHS! #EURefResults #Brexit,0
"When the best foreign talent of football players can't come to <user> and your teams are doing shit, who u gonna blame? #Brexit",0
The EU is a disaster!  Fuhrer Merkel is evil and Islam is the cancer of the world! Glad you voted out! #Brexit,1
"Justifiable anti-immigration sentiment in the UK may go along with a rejection of ""globalism."" <url>",0
so equal pay for women would have stopped fears of immigration #brexit #zimmer conflation,0
"Well he's a fave with the Drs why not start on the 150,000+ immigrant nurses we have.. #Brexit #immigration #NHS  <url>",0
"RT: ggreenwald: RT pwnallthethings: Why did Brits vote #Brexit?
49%: Principle of sovereignty
33%: Immigration / b… <url>",0
Austerity brings Cameron down. But the working class of Britain has been led to believe that immigration took their money. #Brexit,0
"RT <user>: #Brexit, AKA when ur centuries of colonialization lead to power vacuums, terrorist regimes, and millions of displaced persons,…",0
Wow! I feel so bad for those who wanted to be free and now will be Islam shoved down their throats <url>,0
#Brexit is terrifying and we need a leader experienced in foreign policy #HillaryClinton,0
.<user> <user> <user> 2 main causes of #Brexit: Immigration &amp; sick of political establishment. Seems like USA. We need #Trump.,0
#Brexit will mean a relaxation on the tough immigration policies aimed towards NonEU migrants.....Nope (3,0
<user> ha! Was just saying that to <user> cabin crew on my flt to Berlin. They are split 50-50 on #Brexit. Immigration the issue.,0
UK is the 5th largest economy-- wanted sovereignty back. Tired of stupid immigration and paying for others to ride on their success. #Brexit,0
"What is the EU?
Why The Migrant Invasion of Europe?
""induced dissolution of the European White race""
#Brexit #EUref 
<url>",0
