post,offensiveYN
I have an awesome tattooist in the burbs of Chicago ...,0.0
The guy's not a scientist. And I will bet $.47 that a majority of the other reputable scientists deniers either have no degree whatsoever or a PhD in Biblical Denial from University of Conservative Mormonism in Utah.,1.0
This bad of dicks is wearing sunglasses at the gym. Either he's Cyclops from X-Men or he's finna get backhanded by the hand of God.,1.0
At the beginning of the movie they show that huge group mating scene where they line up the men and women .,0.0
"Me: My throat kind of hurt earlier, I think I'm getting sick. Marc: NO! Me: Maybe it was just a glitch..",0.0
"Female privilege #42 When a nerdish female posts a completely irrelevant sheet of her breast feeding she gets praised, if any of us men do the same thing about our masturbation habits and compare it to big macs, calories etc we would be called creeps, this is modern feminism, my fellow gentlemen.",1.0
I saw the movie Valkyrie with Tom Cruise in the lead role .,0.0
White People stop giving your time and money to those that hate you.,1.0
In which r/drama thinks the hooker abuse story is bullshit,0.0
"You ever stop to think that maybe, just maybe, you're part of the problem? u/N8TheGr8",1.0
"I played the Sandy Caps mini game in Paradise Island 2, and my score was: 197 #GameInsight #ParadiseIsland2",0.0
Please @netflix @NetflixNL help us to keep the dream alive and give #BatB Beauty and the Beast a new home! #NetflixSaveBatB,0.0
That moment when you get English grammar wrong when a student asks... &#128530; EVERYTHING IS MADE UP AND NOTHING MATTERS,0.0
Hey i just met jew And this is crazy But heres my gas chamber And ill gas your baby,1.0
"Made a positive change in my life by not sleeping next to my mobile. I kept it well out of my reach last night, and saved a lot of time.",0.0
"I don’t like going to subway... Last time I went, I choked on Jared’s foot long.",1.0
"Girl:: Oh hey, so you're bisexual? Me:: Yeah. Girl:: Do you have a crush on me then? Me:: Oh hey, so you're straight? Girl:: Yeah. Me:: Do you have a crush on every guy you meet? Girl at my old school upon finding out I was bisexual. Made me feel like there was no hope left for humanity.",1.0
"Why are the orphans so worried about hurricane Florence? Like, what's the worst that could happen? They become homeless?",1.0
Shit where the gay bitches at ? Come be witcha girl tonight &#128527;&#128069;&#128166;&#128523;,1.0
"I swear, SahBabii's Pull Up Wit Ah Stick instrumental is one of the most relaxing Hip Hop beats I've ever heard.",0.0
