text,hard_label
Hey <user> you'd better off if you hid somewhere &amp; stopped talking. Your people can't cover for you when you making a fool out of yourself.,0
"<user> Ugh whoever this person is -----&gt; u are SO RUDE <user> Speaking up here is allyship, not patronization. Get it straight.   Everyone should be speaking up about this &amp; I wish Gabbie didn't even bother to respond to you, SMH. #BLM  #BlackLivesMatter <url>",0
"<user> <user> Such a stupid, stupid man. He truly has no understanding of the #Constitution or how #America works. The #GOP is complacent in every single thing he has done since the #Impeachment. 100,000+ dead #Americans from #COVID19 &amp; now another #AbuseOfPower w/Social Media. #GOP",0
Ion know why that anonymous dude scare me that shit ain’t normal😂,0
<user> Your future is behind bars,1
"Yes, Fauci is a liar... Boom, Boom. <url>",1
"Wow he had them fainting from #HeatStroke in #Florida, and freezing with #Exposure in #Omaha and #Pennsylvania! Those he doesn't kill with #ExposureToTheElements he'll kill later with #Covid. This is how much #MAGA cares for his supporters, for Americans. #MAGA #TrumpDespisesYou! <url>",0
"<user> Speak for your own corrupt little black heart. We CHuMPS are thankful that yet another of our LEOs didn't lose their life because of a knife wielding thug. Looks like your ""supporters"" are grieving &amp; stealing thru their tears. How touching. TRUmp2020🇺🇲❤ <url> <url>",1
Because religion is *magical*,0
"<user> You’re a complete failure. You are literally misrepresenting the COVID-19 numbers for the moron in the WH.  As for me and my family, we will keep to the guidelines and not go out to party on the beach. <url>",1
<user> <user> <user> <user> You’re disgraceful,0
Of course he’s golfing instead of working on covid mitigation or his baseless post-election legal strategy.   I love how Trump Supporters think he’s gives a fuck about them.   He’s grifting you to the very end.   You’ve been played.,0
"#Vote <user> Trump is incompetent, illegitimate, rude and terribly corrupt. #Nevada #debates",0
No way these Chinese people are not trying to reduce their population... how do you suddenly report 103 new coronavirus deaths in a day???,1
"<user> <user> GUILTY! <user> de Blasio KILLED 5,000 New Yorkers by FORCING Nursing Homes to accept #COVID19!  He also KILLED dozens and injured hundreds by inciting Democrat Criminals to violence against the #NYPD!  He facilitated #ANTIFA &amp; #BLM Democrat Terrorists! <url>",1
What in the hell is wrong with Joe. Joe Biden who let him out of the basement. He is absolutely nuts to say that about King to even compare him to this thug with a criminal record a mile long King never robbed a pregnant woman 🤰🏿,1
"<user> <user> Let’s hope. However, tens of millions of voters still supporting a *leader* who is openly sexist, racist, unable to feel empathy and opposed to the separation of powers, are casting a very dark shadow over this victory.",1
So proud of my city for staying strong and continuing to protest all of last week and this week. #BlackLivesMattter #fuck12,0
<user> You are a liar!!! #BidenCrimeFamilyExposed  Biden is a threat to national security!! #Trump2020 and #VoteRed2020ToSaveAmerica,1
"For everyone on anonymous account , this is a social experiment, please change your profile name to "" HOMOSEXUAL ""  while u go on replying these insensitive cisHet who are homophobic.  It’s Time to choke them with the visibility of that word. 🏳️‍🌈",1
