rewire_id,text,label
sexism2022_english-8543,"the democrat party's planned parenthood makes too much money selling baby parts for them to give it up plus, they can kill off more of their black/brown properties on the taxpayers' dime",0
sexism2022_english-9482,"This is so fucking cringe, did she really think she was being badass? She sounds like a lunatic",0
sexism2022_english-3525,"Male dolphin wakes up next to female whale. ""Aww man! I thought you were just a fat chick! You're a whale?!"" (My apologies to women who are a little heavier than average, I adore you.) ( no really I f-ing ADORE you.)",1
sexism2022_english-9179,Can't wait to see if the Ms Marvel doll has her clit chopped off in true Muslim fashion. [URL],1
sexism2022_english-17449,Because in the 1940's & 50's it was still OK to beat your wife.,0
sexism2022_english-12172,Some day hopefully not too long from now this will be a typical question on a high school history test: What percentage Caucasian did Elizabeth Warren's DNA test suggest she was?,0
sexism2022_english-18946,"You mean all twenty of you chasing the same two women makes you an ""alpha""? Please, you're just a faggot wanting to cross swords with other men in the same hole.",0
sexism2022_english-14163,I hope Crowder puts the final nail her nigger lovin coffin,1
sexism2022_english-19698,"And men can stop blaming women for their sexual frustrations, women don't give a single shit about them, dumbasses. 😂😂",1
sexism2022_english-18437,You almost never see Mediterranean White women fooling around with niggers. The same goes for most (but unfortunately not all) Slavic women.,1
sexism2022_english-14867,most Americans that pursue prostitution are privy to Hong Kong just as Europeans would be privy to Red Light District. You're just an ignorant fuck lmao cry more,0
sexism2022_english-1456,"Yeah, I guess she is supposed to be Obama's Hollywood sex slave.",0
sexism2022_english-8735,She got her equal rights... And lefts 😂,1
sexism2022_english-15068,"If he's not already molesting this little girl, I'm sure he will be in the future. I hope this woman comes to her senses and the court system backs her up and she gets complete custody with zero contact.",0
sexism2022_english-5875,tranny teaching [USER] [USER] [USER] [USER] [USER],1
sexism2022_english-12097,“Waaa girls hate me for my looks no i would not fuck an asian girl asians are gross”,1
sexism2022_english-1502,"I can't see any way to do that without it being very ugly, but there is no doubt that women's suffrage has been disastrous. Democracy is a failed experiment, anyway.",1
sexism2022_english-4984,I spent the first several years after being married trying to live up to crap like this list only to find much later that my wife just wanted me to be a man and take charge of things.,0
sexism2022_english-17598,"Watch "" #JKRowling is a Vile Piece of Sh*t"" -she lies on #Trump & ... [URL] #GabFam #News Via #PaulWatson [USER]",0
sexism2022_english-10234,fuckin nigger witch,1
