text,hard_label,model_answer
The UK has decided to leave the European Union. What does this mean for foreign property investors? <url> #brexit,0, 0                    
Good for you BRITS...You saved your country. Now seal yourselves from the Muslim invasian. #Brexit,1, 1                    
I'm voting OUT! Nowt to do with immigration or identity all about controlling our own interests. #Brexit,0, 0                    
RT <user>: <user> <user> <user> <user> I support #Brexit...I don't support the scapegoating of muslim immig…,0, 0                    
"<user> u said 8 years earlier. 18 really means 9.. Deport him... Oh wait, we can't vote #brexit",0, 0                    
"OMG if #BREXIT vote = 52:49% win by old Conservatives fears of Immigration and Taxes = 
#Trump could win IF Slackers &lt; 30 seldom VOTE in #US",0, 0
"Following disastrous immigration figures, Kent illegals and scaping Channel surveillance, Theresa May hides from media. #Brexit for security",0, 1                    
"Since this trend is going on #RExit #BrExit.
I want #PExit all the Pakis Exit singers, floppy actors, cricketers frm our country",1, 1                    
"<user> you're a jackass.. they know EXACTLY what they voted against.. namely: muslim extremists, globalist shitbags and tyranny #brexit",0, 1                    
Think of these pigs as the EU's primary foreign policy achievement. No wonder #brexit <url>,0, 1                    
thats great they can always go and fuck goats with there muslim terrorist friends <url>,1, 1                    
World Against Islam  <url> Thanks: <user> <user> #brexit #immigration,0, 1                    
"In Fr&amp; Be terrorist acts are that of  ""lone wolves"" &amp; ""madmen"" . But in  UK racist acts are ALL from ALL Brexiters?? Seriously?? #Brexit",0, 1                    
What is the “economic integrity” of having foreigners run your government? #Brexit  <url>,0, 0                    
"A white working-class man and a North African Muslim worked in tandem to make sporting history for #LCFC.
Britain, let's #BeMoreFox. #Brexit",0, 0
<user> Rubber bullets ppl counted 50 THRU THE GAS he be Muslim of course &amp; uve all been distracted from #Brexit &amp; Obongo's loss &amp; +++,0, 1                    
5 Migration depresses wages for low skilled but UK workers mostly high skilled thus itll reduce prices and increase competitiveness #Brexit,0, 0                    
"<user> hey Ireland, any chance I can claim refugee status? My country and just imploded #EUref #Brexit",0, 0                    
