text,hard_label
"Y’all. My moms great-great nephew is in the NICU (idk what that is to me,3rd cousin? Idk) he’s not even a month fucking old and he’s on o2 with some seriously fucked up lungs. Idk if they have tested for #COVID but I stg STAY HOME PPL THIS IS WHY #Babyboy #ShelterInPlace <url>",1
This seems like a pretty thin platform. I predict it will break under the weight of Trump. I wonder How long can they pretend the Pandemic isn't relevant?,0
<user> <user> AND when Arizona is called for <user> you can be sure that War hero and patriot John McCain will be giving killer Trump a HUGE f*ck you to him from above!!! 😂🤣😂🤣😂,1
"COVID Spotlight: Cherylee Sherry, MCHES®, Minnesota Department of Health  <url> #CHES #COVID #HealthEducation <url>",0
"<user> <user> <user> Will one of you please appeal somehow to the folks Trump told to ""standby""? Defuse them somehow. 🤷🏻‍♀️",0
"The left would call them coons and house Negroes, not really black, pawns for the white supremacy, blah blah blah.   They have no creed. The only way for any of the lefts little dog-whistle theories to hold weight is for everything that’s true to be false.",1
"#BlakeLivesMatter America the beautiful! Fck that flag! Grown a§ ppl worshiping a piece of cloth over human lives is more disgraceful, dishonorable, disrespectful, despicable, than kneeling during a song. A SONG! Mind blowing! #DISMISSED #BlackLivesMatter <url>",1
4th Industrial REvolution. They pay you in digital currency for doing tasks sent to you on your smartphone in order to make you expend energy which is then used to mine the digital currency they'll pay you with. A 'perfectly balanced' hell on Earth. #Technocracy <url>,0
Black lives do matter all lives do matter. I just hope this dreadful virus that has no respect for any lives does not take more victims from those who joined mass protests on our streets.Those protests to remind us all how important life is! #BlackLivesMatter #AllLivesMattter,0
<user> <user> He fucking said it was a great day for George Floyd.  It's never a great day to be dead after being brutally attacked.,1
"<user> The POS just said, paraphrasing, that children don't catch COVID very easily, and don't transmit it.  GET THE F*** OUT OF HERE.",1
<user> just saw you were looking forward to the Knicks screwing this up,0
"Minnesota Governor authorizes 'full mobilization' of state's National Guard, says protests no longer about death of George Floyd  <url> ⁦<user> so you’re saying a minority of locals stole giant TVs cases of alcohol, etc? 😂",0
<user> and <user> are both pedophiles but Americans literally ignore this and think they are voting for lesser evil v. greater evil. It's fucking disgusting.,1
<user> <user> Don’t fuck with Anonymous.,1
When it’s fashionable eh? Fuck off. <url>,1
<user> Las las George Floyd ancestors fit dey traced to Naija so s guy wan collect funds on dia behalf origin chapter,0
<user> <user> <user> <user> Decades ago the old guard was in control. There were protests back in the 60'&amp;70's. They tried back then. It took the invention of social media and cell phones to get everyone involved. George Floyd died right in front of the eyes of the world. Didn't bother Trump much to see it.,0
"Fuckbook and Suckerberg are leading the world in disinformation, lies and propaganda. All in the name of surveillance and controlling your every movement.",1
#BrownLivesMatterToo The movement Black Lives Matter is racist itself by its name It does mean that lives of rest of colored people doesn't matter to Americans But still #BlackLivesMatter,0
